Light,Nitrate,Iron,Phosphate,Temperature,pH,CO2,Population
1388.69,1.64,0.04,0.03,12.91,7.38,6.26,3752.15
2005.14,5.36,0.01,0.01,21.96,7.17,4.27,0.0
1199.21,4.68,0.14,0.08,10.0,7.51,9.27,4471.05
396.02,6.52,0.17,0.06,15.69,7.53,6.42,2657.98
1798.98,3.15,0.19,0.11,25.51,7.27,9.98,2179.26
1892.82,5.4,0.12,0.03,25.18,7.7,2.53,1356.16
1250.47,7.23,0.1,0.18,27.13,7.74,7.18,4869.41
1314.75,1.45,0.2,0.14,16.02,7.76,3.27,4200.39
1299.99,7.43,0.15,0.11,12.4,7.14,7.42,4245.6
1623.88,7.97,0.11,0.08,17.7,7.03,4.26,3377.47
1883.18,3.22,0.01,0.18,13.57,7.77,8.79,1214.13
1191.42,1.04,0.12,0.07,22.84,7.55,3.09,4808.7
1723.1,4.91,0.16,0.14,29.97,7.42,4.62,1956.64
99.0,2.73,0.15,0.05,27.42,8.0,2.05,502.75
618.95,6.44,0.18,0.2,29.55,7.52,2.13,4242.5
52.67,6.99,0.08,0.11,19.12,7.42,4.39,248.08
925.08,7.88,0.08,0.13,16.29,7.26,7.39,4980.72
781.49,2.66,0.09,0.18,15.78,7.57,7.16,4597.89
1776.75,4.24,0.03,0.02,23.89,7.67,7.84,2233.88
48.33,5.55,0.06,0.19,15.48,7.11,7.41,81.23
738.92,7.55,0.17,0.15,25.36,7.47,5.87,4400.01
135.71,3.33,0.02,0.11,19.88,7.62,4.39,385.32
368.33,3.96,0.13,0.18,15.52,7.3,3.87,2304.61
658.24,4.87,0.12,0.19,26.65,7.6,8.52,3719.87
1874.26,5.23,0.17,0.08,27.38,7.29,4.56,1579.33
1033.79,2.97,0.08,0.06,14.7,7.11,5.22,4423.92
412.11,7.06,0.01,0.03,23.39,7.11,8.58,3339.67
159.7,5.5,0.01,0.17,20.49,7.14,2.43,850.61
920.83,4.83,0.18,0.2,15.56,7.61,3.14,4615.14
665.46,3.32,0.12,0.05,10.94,7.46,4.35,4098.28
1816.98,1.23,0.17,0.11,24.66,7.93,8.96,1215.33
1551.09,5.85,0.13,0.16,22.8,7.64,6.54,3023.69
1201.86,3.3,0.04,0.09,13.2,7.41,7.52,4935.6
396.01,6.93,0.01,0.15,22.61,7.98,5.01,2423.15
1125.39,1.2,0.11,0.07,14.96,7.1,5.62,4521.64
1859.69,4.2,0.2,0.07,29.47,7.99,2.74,924.82
968.65,1.92,0.04,0.11,22.83,7.58,9.1,5136.54
256.07,2.64,0.01,0.12,20.01,7.17,5.89,2047.54
798.52,2.17,0.17,0.02,18.01,7.88,7.07,4007.84
1174.95,4.23,0.19,0.12,12.05,7.5,6.71,4158.99
1220.93,7.22,0.02,0.17,10.08,7.12,3.21,4801.08
160.73,4.34,0.13,0.03,21.95,7.01,3.47,1246.58
1586.65,6.97,0.07,0.17,24.55,7.62,7.29,3590.97
1722.9,1.83,0.16,0.04,27.01,7.07,5.29,1966.7
1667.05,7.75,0.12,0.19,28.89,7.69,8.2,2588.69
1078.12,2.15,0.03,0.19,22.43,7.78,8.19,4891.37
960.44,4.81,0.14,0.05,29.88,7.83,7.25,4320.2
1498.6,3.11,0.16,0.07,16.16,7.34,4.95,3210.4
1559.71,5.06,0.19,0.02,22.86,7.38,2.11,3610.86
885.76,6.59,0.14,0.06,25.58,7.9,3.68,4285.12
1451.82,1.26,0.05,0.18,27.45,7.6,8.63,3425.61
1019.27,4.04,0.16,0.18,28.25,7.63,7.0,5186.66
594.01,2.09,0.08,0.03,28.72,7.92,2.72,4198.82
827.03,1.26,0.15,0.05,10.2,7.97,3.36,4145.5
811.17,3.83,0.16,0.06,25.45,7.67,2.09,4413.78
149.7,4.5,0.08,0.12,24.91,7.8,3.67,428.54
1633.29,7.61,0.2,0.19,23.4,7.82,2.32,2595.73
633.13,4.05,0.05,0.12,21.81,7.1,6.43,4445.87
1547.1,6.02,0.08,0.18,14.5,7.42,7.57,3680.4
1464.7,2.73,0.09,0.05,20.74,7.85,8.97,3977.35
881.48,6.21,0.12,0.03,29.29,7.33,2.16,4561.38
770.14,2.36,0.11,0.16,14.54,7.62,6.57,4229.1
903.44,2.97,0.1,0.06,17.38,7.95,6.84,4341.53
1561.76,5.83,0.08,0.1,16.22,7.18,5.39,2890.5
367.74,5.96,0.01,0.05,12.35,7.34,5.09,2138.72
1825.36,6.84,0.16,0.05,17.75,7.59,2.75,1286.02
1255.01,2.82,0.18,0.03,17.11,7.71,4.99,4118.84
591.3,3.4,0.09,0.14,24.68,7.57,3.74,4084.73
1370.26,7.74,0.02,0.07,17.02,7.06,5.8,3716.87
1496.07,7.81,0.07,0.17,27.51,7.0,2.65,3695.89
111.26,5.98,0.09,0.09,14.76,7.28,7.14,994.99
1008.19,3.6,0.11,0.06,10.15,7.35,9.7,4544.68
1327.96,2.32,0.06,0.18,20.51,7.8,2.18,4100.06
563.79,2.22,0.12,0.2,13.63,7.61,3.78,4152.81
44.3,6.8,0.04,0.15,15.86,7.92,3.27,0.0
1695.37,5.25,0.1,0.06,29.52,7.73,6.38,2175.41
207.72,1.84,0.19,0.18,16.9,7.16,8.66,1632.77
925.0,5.95,0.09,0.06,21.23,7.1,3.16,4691.47
1151.32,2.01,0.07,0.03,11.67,7.94,3.45,4295.83
468.69,7.94,0.03,0.09,23.89,7.22,5.83,3374.62
1201.26,2.94,0.18,0.01,22.61,7.93,4.03,4791.36
1303.11,2.23,0.07,0.04,10.53,7.27,7.17,4791.45
629.13,2.55,0.02,0.04,17.69,7.79,8.87,3471.12
1183.24,4.98,0.19,0.08,19.24,7.78,8.71,4381.43
891.92,1.52,0.16,0.1,20.5,7.14,5.23,4905.55
1022.36,2.77,0.19,0.12,26.22,7.8,3.79,5122.09
1694.24,1.81,0.16,0.03,23.16,7.99,3.4,2079.43
757.97,1.38,0.09,0.15,15.09,7.61,3.38,4061.31
1598.64,2.29,0.04,0.13,13.3,7.35,7.89,3279.03
823.85,2.05,0.17,0.03,24.64,7.17,5.32,4950.59
935.37,3.36,0.05,0.08,19.41,7.21,9.05,5111.41
1914.89,4.39,0.12,0.11,23.73,7.91,8.26,393.04
1614.36,6.08,0.01,0.18,11.69,7.87,3.5,3304.05
827.45,6.44,0.18,0.18,20.15,7.47,2.58,4731.75
995.28,3.34,0.18,0.04,24.41,7.34,8.51,4403.73
1230.51,6.89,0.11,0.06,21.16,7.76,9.75,4698.95
1805.36,3.89,0.03,0.11,10.39,7.89,9.47,1930.49
1895.13,2.16,0.17,0.1,21.55,7.37,3.9,1210.68
931.16,5.64,0.17,0.03,25.72,7.74,2.31,4862.65
581.3,5.71,0.06,0.18,22.07,7.31,3.17,3745.24
1914.67,6.34,0.2,0.19,10.44,7.23,9.34,1270.69
1139.27,6.4,0.03,0.13,10.52,7.49,2.91,4850.07
738.02,1.84,0.18,0.16,19.94,7.54,2.21,4807.36
877.93,6.41,0.12,0.17,13.43,7.63,4.27,4985.55
1527.16,1.69,0.09,0.05,21.64,7.97,4.81,3405.65
1816.58,5.5,0.05,0.14,29.37,7.42,7.91,1836.0
1811.63,4.51,0.09,0.11,14.06,7.88,8.29,1387.91
1299.07,5.17,0.15,0.16,24.8,7.74,7.24,4469.62
1658.2,6.08,0.16,0.1,29.63,7.26,4.82,2836.99
1601.83,3.27,0.06,0.19,19.04,7.43,4.11,3519.67
626.52,6.55,0.02,0.16,16.9,7.74,3.33,3628.93
1116.47,4.75,0.09,0.11,16.9,7.3,9.97,4235.88
165.42,6.57,0.13,0.02,21.1,7.17,6.54,823.99
1183.7,5.86,0.19,0.16,25.93,7.26,2.19,5071.74
580.26,7.93,0.19,0.16,22.14,7.77,3.82,4142.79
760.33,6.36,0.14,0.18,26.35,7.28,4.91,4087.35
548.3,1.39,0.15,0.14,29.22,7.4,9.11,3136.27
1978.81,4.25,0.01,0.06,27.42,7.67,6.43,0.0
1867.21,4.13,0.06,0.02,20.08,7.55,6.64,1254.63
102.02,3.5,0.01,0.04,24.44,7.03,4.25,973.39
924.17,1.86,0.1,0.03,12.33,7.31,2.73,4597.81
1977.45,4.0,0.05,0.06,14.3,7.71,7.94,167.59
1805.12,6.06,0.14,0.13,14.56,7.16,3.35,1416.53
533.87,4.6,0.18,0.12,15.53,7.93,8.83,3644.97
1877.28,6.77,0.01,0.03,26.82,7.65,9.82,1233.67
60.49,7.33,0.06,0.04,18.47,7.08,9.23,0.0
841.48,5.69,0.12,0.03,28.04,7.85,2.23,4097.5
1704.95,7.39,0.14,0.07,20.31,7.08,8.06,2432.36
1368.63,6.67,0.2,0.04,20.88,7.99,2.63,4399.94
665.7,5.64,0.11,0.07,13.11,7.1,2.37,4577.93
1995.67,5.31,0.02,0.11,21.65,7.83,3.16,300.4
1859.58,7.94,0.07,0.04,19.78,7.85,5.49,935.36
738.76,5.34,0.05,0.07,24.87,7.01,3.42,4660.24
525.35,4.1,0.05,0.18,15.16,7.2,2.25,3577.48
651.32,3.08,0.19,0.15,18.52,7.12,8.41,3792.98
421.06,5.96,0.02,0.02,15.96,7.58,6.09,2659.09
895.32,6.45,0.01,0.14,20.06,7.12,3.6,4763.66
253.02,1.97,0.1,0.17,21.9,7.93,4.38,2047.56
1879.14,7.38,0.05,0.15,11.48,7.43,2.29,1440.16
1864.14,5.8,0.05,0.06,17.47,7.96,6.44,1730.24
55.16,1.93,0.15,0.1,19.36,7.82,7.6,0.0
1749.84,7.84,0.01,0.2,21.67,7.6,2.75,2054.35
1886.89,3.46,0.08,0.19,22.38,7.4,7.92,578.02
185.14,5.65,0.03,0.07,11.58,7.13,3.99,1065.03
1961.31,2.59,0.16,0.12,14.77,7.08,9.09,0.0
1391.08,7.81,0.19,0.08,14.97,7.83,6.01,4375.65
152.28,4.07,0.2,0.05,11.8,7.77,9.84,891.64
840.27,6.62,0.14,0.05,26.89,7.54,7.11,4297.81
1763.44,2.8,0.03,0.06,19.52,7.65,8.86,2262.09
183.8,4.24,0.03,0.05,17.13,7.9,7.31,1125.57
1206.97,2.64,0.04,0.03,13.26,7.81,3.6,4261.98
1719.12,4.27,0.02,0.08,19.37,7.35,8.94,2393.98
70.18,6.47,0.06,0.19,21.96,7.58,8.02,0.0
629.26,5.58,0.09,0.06,12.77,7.55,4.55,4430.76
1762.4,3.28,0.1,0.16,22.23,7.71,9.29,2480.72
843.32,6.73,0.03,0.04,16.94,7.43,2.12,4376.97
1261.24,5.59,0.15,0.09,17.56,7.63,5.3,4663.91
1965.52,3.32,0.19,0.08,13.32,7.79,4.33,385.85
1681.64,2.54,0.13,0.1,18.99,7.79,3.34,2819.49
394.66,6.89,0.14,0.14,10.5,7.17,3.73,2882.19
1342.22,5.26,0.07,0.1,25.63,7.15,2.67,4504.89
269.67,3.25,0.19,0.19,27.29,7.49,4.88,1625.13
189.97,2.08,0.19,0.11,16.53,7.2,4.83,778.79
1654.66,7.46,0.02,0.18,22.06,7.69,5.37,2764.96
403.43,6.0,0.1,0.14,29.72,7.24,5.13,2963.16
1302.32,6.91,0.01,0.11,13.33,7.66,2.73,4122.02
95.03,5.02,0.01,0.12,18.89,7.84,6.73,528.46
100.32,6.1,0.16,0.12,28.77,7.97,3.78,971.95
622.92,2.44,0.01,0.12,23.6,7.02,5.05,3625.71
1321.69,5.82,0.07,0.16,14.06,7.85,3.35,3924.08
818.82,3.57,0.04,0.02,20.4,7.46,7.36,4913.46
1447.73,4.36,0.04,0.1,26.17,7.82,8.83,3710.76
1615.07,5.08,0.06,0.1,11.96,7.28,9.16,2628.4
392.76,4.95,0.16,0.13,13.75,7.06,3.48,3231.26
1535.61,6.36,0.2,0.06,14.66,7.05,2.26,3354.48
1589.23,1.18,0.06,0.2,24.7,7.46,9.42,3643.77
1784.25,5.89,0.1,0.16,16.03,7.04,4.05,1504.69
1075.55,5.85,0.15,0.08,10.22,7.36,8.26,4276.36
954.75,6.81,0.17,0.15,15.26,7.35,2.02,5001.32
1705.53,2.47,0.05,0.18,26.86,7.05,7.33,2054.0
1781.09,4.05,0.02,0.09,12.7,7.05,6.36,1678.24
1148.86,5.4,0.06,0.15,17.25,7.51,7.5,4364.64
899.36,5.08,0.2,0.03,12.61,7.14,4.36,4335.26
1207.74,5.35,0.15,0.08,18.02,7.26,3.9,4501.59
1420.71,7.73,0.19,0.17,15.25,7.04,2.42,3606.85
893.0,3.77,0.16,0.13,22.76,7.05,6.49,4627.9
1039.44,1.99,0.02,0.12,24.7,7.66,3.42,4924.47
2007.76,1.42,0.14,0.07,29.75,7.71,9.37,0.0
947.27,7.42,0.06,0.08,26.65,7.97,8.64,4538.13
207.25,5.01,0.12,0.03,17.5,7.21,5.8,1694.32
1959.09,2.91,0.17,0.1,17.77,7.06,3.69,475.7
1931.53,6.59,0.14,0.14,29.56,7.56,7.61,727.7
1131.34,4.89,0.15,0.05,29.9,7.55,4.76,4346.82
320.71,2.03,0.08,0.05,10.1,7.07,7.21,2640.9
437.45,1.36,0.06,0.09,18.94,7.43,3.7,2771.69
221.41,6.6,0.12,0.18,19.47,7.94,2.86,1244.46
944.85,7.6,0.13,0.15,29.61,7.76,6.35,4635.49
1669.15,3.23,0.12,0.03,26.22,7.45,8.32,2519.3
856.45,4.02,0.02,0.18,29.09,7.65,7.35,4383.16
1862.97,4.93,0.07,0.07,21.4,7.04,8.11,1208.83
1683.1,7.22,0.16,0.13,10.16,7.81,2.91,2890.03
606.76,5.92,0.11,0.11,11.15,7.54,8.23,4148.26
581.97,5.69,0.01,0.14,26.07,7.65,5.87,4011.21
836.49,7.54,0.12,0.19,15.34,7.9,8.54,4451.08
1544.67,7.4,0.04,0.16,11.4,7.93,5.53,3475.16
838.92,7.63,0.08,0.16,21.43,7.11,5.49,4962.03
525.11,2.78,0.07,0.16,23.56,7.08,6.14,3252.6
1461.7,4.07,0.03,0.19,13.69,7.86,8.3,4035.55
1795.48,2.15,0.02,0.11,14.77,7.01,7.21,1380.51
700.58,1.05,0.01,0.15,10.84,7.85,6.09,4137.48
1048.55,7.57,0.11,0.14,12.12,7.82,6.37,4302.95
968.98,4.55,0.13,0.16,20.52,7.12,3.79,5103.18
1275.59,6.14,0.07,0.11,24.94,7.91,4.21,3955.38
1316.31,7.17,0.19,0.01,28.34,7.4,2.47,4571.81
385.14,5.81,0.13,0.07,20.96,7.91,8.32,2710.61
1006.71,2.77,0.1,0.03,24.15,7.3,3.39,4375.0
483.86,4.73,0.11,0.15,27.21,7.51,6.89,3141.9
878.75,4.92,0.17,0.15,14.03,7.75,7.31,4350.09
1927.43,1.11,0.08,0.14,19.64,7.73,3.21,979.5
45.23,6.16,0.01,0.18,22.28,7.27,5.08,0.0
1149.67,6.22,0.16,0.12,13.23,7.3,3.1,4867.38
690.92,7.32,0.13,0.17,23.09,7.86,6.44,3995.66
268.94,3.19,0.12,0.03,18.04,7.36,7.35,2019.34
668.88,1.97,0.07,0.02,19.1,7.89,9.57,3971.87
828.18,4.1,0.06,0.15,11.37,7.42,5.11,4255.19
438.01,3.79,0.08,0.01,19.48,7.56,2.63,3365.78
515.16,7.21,0.08,0.09,25.53,7.1,7.39,3133.65
1367.35,4.37,0.07,0.06,23.81,7.24,4.2,4371.49
630.12,6.13,0.14,0.14,19.08,7.83,2.25,4165.52
715.63,5.76,0.08,0.19,16.58,7.25,6.67,3954.39
964.31,4.93,0.16,0.06,25.04,7.41,6.17,5155.99
846.03,4.19,0.18,0.16,11.01,7.63,9.45,4432.61
1089.81,6.36,0.1,0.1,13.08,7.91,6.08,4259.32
143.24,4.87,0.15,0.06,25.28,7.86,8.03,950.12
985.02,3.63,0.06,0.01,18.06,7.47,5.06,5242.84
942.19,5.49,0.14,0.09,14.97,7.69,4.39,4780.89
1185.64,3.51,0.09,0.11,28.9,8.0,3.08,5044.18
1303.75,5.28,0.05,0.03,22.45,7.91,2.95,4100.97
1169.62,5.55,0.06,0.17,29.69,7.86,8.0,4903.94
1562.37,5.69,0.14,0.12,13.25,7.92,3.07,3311.44
857.48,2.63,0.03,0.13,25.72,7.73,6.31,4673.37
1511.54,2.02,0.05,0.16,22.6,7.37,2.99,3414.19
1665.5,5.85,0.08,0.08,11.38,7.41,3.47,2886.12
1401.6,5.64,0.03,0.01,21.64,7.55,4.8,3552.95
446.63,2.06,0.09,0.08,26.48,7.29,3.49,2812.14
1253.2,3.91,0.13,0.1,26.58,7.09,8.39,4275.54
1368.08,4.87,0.14,0.03,10.66,7.07,7.52,4018.94
223.74,4.82,0.08,0.13,10.71,7.3,4.5,1223.98
1112.28,6.97,0.05,0.15,23.49,7.0,2.88,4344.72
737.28,2.06,0.18,0.08,23.65,7.69,2.98,4277.38
812.74,2.03,0.06,0.12,11.96,7.19,9.66,4457.2
192.67,7.43,0.12,0.17,15.79,7.41,3.12,1282.4
1183.02,2.68,0.02,0.03,10.77,7.22,9.07,4243.5
1569.06,7.82,0.06,0.13,18.2,7.02,5.44,2996.8
833.04,1.12,0.03,0.05,22.68,7.39,2.47,4444.0
1773.76,1.91,0.11,0.01,15.67,7.63,4.95,2185.83
1925.36,3.42,0.03,0.2,21.21,7.52,3.42,373.43
695.35,2.07,0.15,0.15,27.39,7.21,2.14,4636.23
1566.67,6.83,0.18,0.08,25.89,7.96,4.82,3033.95
1021.09,1.65,0.07,0.04,20.71,7.89,8.16,4274.47
1106.66,3.82,0.01,0.04,22.91,7.26,8.76,4398.72
192.99,5.01,0.1,0.04,27.11,7.38,2.86,1339.67
848.08,2.24,0.02,0.12,10.58,7.45,4.77,4597.01
1069.26,5.09,0.12,0.09,18.05,7.47,2.5,4282.88
382.49,4.05,0.05,0.17,12.26,7.77,7.72,3061.38
730.17,3.08,0.02,0.04,20.53,7.21,5.95,4038.75
304.79,2.03,0.09,0.19,10.36,7.08,6.22,2489.38
1632.67,6.69,0.11,0.16,20.22,7.87,2.37,3169.27
1055.26,5.84,0.06,0.18,28.55,7.65,5.84,4641.32
1245.11,4.59,0.13,0.18,22.71,7.73,4.05,4697.11
306.43,4.76,0.01,0.12,18.15,7.29,7.01,2279.15
1389.74,1.93,0.15,0.19,20.08,7.55,5.57,4545.42
579.95,5.83,0.12,0.07,10.04,7.93,3.84,4227.32
1572.91,1.73,0.03,0.1,11.24,7.38,2.34,3633.93
375.43,6.07,0.09,0.16,16.03,7.44,5.6,2805.33
939.33,1.44,0.08,0.14,10.95,7.53,7.4,4478.66
1583.22,3.32,0.06,0.19,20.58,7.5,6.62,2940.01
1026.72,1.3,0.19,0.13,22.69,7.48,5.86,4968.83
466.72,3.36,0.01,0.01,10.89,7.67,9.99,2965.31
1107.37,1.01,0.1,0.15,23.06,7.26,6.52,4647.52
314.02,3.82,0.09,0.19,29.68,7.62,9.72,1968.47
784.61,1.09,0.15,0.11,16.93,7.7,3.66,4745.55
960.08,1.3,0.04,0.09,27.57,7.62,9.41,5051.5
1465.53,7.55,0.06,0.11,13.4,7.54,9.43,3710.72
2008.22,7.26,0.04,0.11,18.82,7.84,3.59,85.14
109.2,3.77,0.18,0.13,10.83,7.24,8.81,236.77
158.64,6.24,0.13,0.08,25.77,7.64,6.36,1288.05
1330.93,4.42,0.13,0.15,17.38,7.47,2.6,3883.22
1033.35,4.94,0.13,0.2,18.25,7.41,3.16,4825.7
1020.26,4.31,0.03,0.13,29.79,7.16,2.42,5102.25
454.69,6.63,0.13,0.18,25.79,7.54,5.02,3395.12
1426.59,3.69,0.05,0.19,10.41,7.64,5.6,3901.73
162.39,7.2,0.16,0.17,22.09,7.24,6.39,1457.85
55.04,5.1,0.18,0.11,29.14,7.68,3.75,142.18
1993.43,1.06,0.11,0.09,27.17,7.53,6.53,0.0
1234.83,5.68,0.04,0.18,21.23,7.43,2.45,4619.85
2005.34,5.83,0.19,0.18,10.38,7.96,8.02,0.0
510.15,2.67,0.03,0.16,22.47,7.18,3.1,3100.5
1188.35,5.38,0.02,0.16,21.69,7.04,7.09,4152.13
1619.21,7.2,0.18,0.1,18.43,7.64,8.24,2553.49
2008.01,4.07,0.07,0.2,13.66,7.05,3.39,0.0
917.13,7.74,0.15,0.17,14.34,7.51,5.83,4969.44
600.53,7.33,0.16,0.13,26.64,7.38,6.05,3990.95
831.28,4.8,0.03,0.04,16.51,7.22,3.73,4868.54
763.95,2.19,0.09,0.04,18.12,7.06,4.51,4835.66
1206.91,4.0,0.05,0.15,11.84,7.5,4.41,4463.76
774.9,3.87,0.13,0.04,10.21,7.14,7.23,4375.62
421.31,3.03,0.17,0.13,29.74,7.43,7.46,3269.33
1524.2,4.35,0.08,0.08,25.45,7.76,2.88,3732.75
386.48,4.64,0.07,0.09,27.5,7.97,3.8,2219.33
1848.13,1.31,0.17,0.09,22.23,7.11,8.81,929.69
377.05,1.55,0.15,0.19,27.3,7.63,3.62,3060.2
1353.04,5.14,0.09,0.02,17.98,7.9,6.09,4669.77
415.04,5.46,0.14,0.2,21.0,7.09,2.07,3314.17
1591.98,3.36,0.11,0.15,24.19,7.74,8.83,3330.01
1832.11,7.71,0.2,0.05,23.63,7.07,7.3,1649.13
66.02,2.47,0.05,0.12,18.08,7.45,5.24,635.69
1473.58,3.48,0.15,0.13,11.95,7.62,6.76,3334.02
1170.39,2.74,0.16,0.11,19.67,7.71,4.31,4964.52
1303.89,3.58,0.19,0.1,25.92,7.99,7.22,4802.56
206.67,4.82,0.13,0.08,23.77,7.28,9.16,1421.5
481.84,2.23,0.11,0.09,19.05,7.38,2.8,3323.75
1107.64,3.18,0.1,0.01,27.36,7.55,7.32,4683.77
134.87,5.88,0.1,0.02,17.48,7.13,7.6,580.26
515.74,7.25,0.14,0.12,25.79,7.91,8.23,3837.51
1305.29,7.48,0.19,0.06,25.52,7.43,4.51,3903.09
591.21,5.66,0.12,0.07,11.56,7.76,5.79,4234.5
1914.12,7.21,0.19,0.09,20.93,7.31,6.98,985.53
691.64,5.41,0.17,0.06,10.01,7.15,2.6,4199.69
1049.0,6.1,0.17,0.13,27.06,7.8,3.29,4796.81
572.32,5.0,0.13,0.09,18.84,7.26,6.26,3585.16
977.33,4.71,0.07,0.06,10.86,7.19,7.27,4377.17
940.26,3.43,0.11,0.04,23.14,7.67,8.41,4763.75
605.87,5.17,0.06,0.01,22.77,7.79,5.37,4152.87
675.77,4.99,0.03,0.02,27.16,7.48,2.38,3688.34
1277.14,7.23,0.19,0.1,20.78,7.01,5.89,4692.93
94.95,1.5,0.09,0.02,21.51,7.68,3.56,0.0
1506.99,4.08,0.01,0.14,29.26,7.66,7.57,3424.67
142.68,6.92,0.05,0.11,13.28,7.15,8.67,482.75
632.94,7.98,0.09,0.16,12.41,7.81,2.87,3874.52
373.32,3.18,0.06,0.09,11.09,7.41,3.8,2789.03
674.93,7.55,0.2,0.11,26.01,7.07,9.1,4524.3
1043.35,3.5,0.1,0.18,22.84,7.71,8.09,4834.49
1035.69,4.6,0.2,0.12,20.25,7.01,9.05,4351.12
548.69,7.35,0.08,0.15,29.56,7.6,8.97,3671.99
1045.62,7.45,0.02,0.14,21.63,7.52,4.96,4388.07
128.86,4.22,0.1,0.09,12.6,7.61,4.39,384.2
839.55,5.95,0.09,0.07,18.94,7.47,4.39,4543.43
332.17,3.73,0.1,0.13,10.42,7.39,6.08,2761.32
325.77,4.69,0.03,0.1,25.54,7.08,7.74,2016.91
1772.2,6.5,0.15,0.16,29.89,7.89,3.96,2460.76
595.74,1.12,0.16,0.1,15.53,7.21,3.58,3595.49
65.17,4.35,0.08,0.1,10.97,7.54,3.42,0.0
1028.78,5.72,0.05,0.07,10.38,7.65,4.67,4957.41
341.5,4.16,0.18,0.1,25.91,7.36,5.65,2881.02
1319.01,3.4,0.18,0.05,20.78,7.88,4.55,3958.33
746.94,7.08,0.14,0.1,29.04,7.01,4.13,3931.96
1774.02,4.35,0.2,0.15,12.95,7.38,6.87,2060.17
1604.86,1.4,0.11,0.15,17.59,7.92,9.26,3371.58
506.6,1.63,0.19,0.17,16.76,7.3,6.05,3460.29
1714.16,3.29,0.05,0.13,24.98,7.2,2.27,2606.26
450.18,5.61,0.1,0.19,28.65,7.74,6.39,2898.41
1503.29,7.1,0.11,0.04,20.99,7.15,6.68,3838.66
1027.54,1.68,0.13,0.13,12.65,7.67,2.42,4700.17
397.61,1.89,0.15,0.03,17.28,7.85,6.55,2954.36
1525.27,1.75,0.05,0.07,15.21,7.8,5.21,3618.04
472.23,4.19,0.05,0.15,23.96,7.8,6.69,3582.17
1888.47,4.44,0.05,0.12,19.6,7.71,5.16,858.87
121.86,5.56,0.09,0.02,27.72,7.53,8.77,1025.99
182.07,1.39,0.01,0.05,28.28,7.18,6.96,1643.69
1894.13,4.16,0.18,0.06,29.65,7.19,7.46,1345.8
1705.87,2.88,0.13,0.09,25.89,7.41,5.32,2408.86
1952.89,1.79,0.12,0.1,15.56,7.11,4.91,511.37
163.33,1.85,0.11,0.08,28.07,7.77,9.49,1322.44
1079.61,4.9,0.02,0.01,27.51,7.85,5.56,4239.45
1446.21,2.29,0.11,0.06,28.22,7.78,5.88,3857.49
1657.06,4.07,0.06,0.05,26.78,7.4,3.91,3173.02
1304.27,4.89,0.18,0.04,13.93,7.94,5.18,4382.39
594.93,2.63,0.13,0.06,14.53,7.53,9.13,4069.32
973.99,4.0,0.07,0.16,11.69,7.17,8.82,4976.46
1124.17,3.58,0.03,0.03,11.51,7.46,3.23,5120.22
972.99,6.98,0.2,0.14,25.14,7.2,8.13,4965.93
65.49,5.78,0.16,0.08,10.2,7.12,3.53,390.71
2006.58,5.72,0.09,0.11,22.86,7.11,6.88,193.16
92.49,1.45,0.11,0.15,18.06,7.16,5.21,19.33
199.63,2.55,0.1,0.19,18.51,7.26,8.97,1101.56
993.58,1.31,0.15,0.09,10.97,7.35,9.02,4817.56
602.65,3.86,0.03,0.17,17.14,7.72,5.43,4332.88
1304.76,3.89,0.05,0.14,20.31,7.24,7.32,4039.89
1476.67,2.45,0.11,0.12,13.03,7.43,7.84,3530.46
417.78,1.99,0.03,0.05,28.57,7.96,9.39,2944.0
509.41,4.96,0.1,0.15,15.04,7.86,7.26,2929.41
961.35,7.84,0.16,0.12,11.06,7.53,8.24,4927.85
434.0,4.41,0.08,0.11,15.07,7.09,7.06,2599.17
330.43,5.42,0.12,0.07,22.61,7.13,7.83,2061.35
1343.31,5.26,0.09,0.12,21.82,7.47,9.88,4323.27
531.19,5.49,0.18,0.08,12.61,7.0,4.76,3645.76
1886.54,2.87,0.08,0.02,18.14,7.16,7.65,1130.68
480.29,7.56,0.1,0.02,25.07,7.15,9.18,3604.7
802.84,4.06,0.03,0.11,18.56,7.76,6.39,4861.55
1274.99,6.98,0.18,0.07,13.14,7.37,7.13,4263.84
951.61,7.51,0.15,0.02,11.35,7.31,3.48,5189.86
1720.04,6.16,0.04,0.09,11.53,7.9,3.43,2415.52
1244.53,5.53,0.04,0.03,24.56,7.42,4.59,4578.15
1097.09,2.46,0.02,0.14,14.95,7.84,3.3,4254.44
1738.25,4.82,0.02,0.15,20.28,7.94,5.21,1860.42
1024.67,2.48,0.08,0.15,28.57,7.68,2.1,5197.77
1429.91,5.23,0.08,0.07,22.74,7.99,9.1,4365.54
773.03,7.72,0.11,0.14,20.27,7.92,9.44,4827.44
355.88,3.89,0.12,0.06,26.01,7.74,6.28,2129.11
1211.89,4.02,0.03,0.08,11.9,7.42,6.67,4809.95
63.48,3.11,0.13,0.09,16.55,7.57,7.76,0.0
315.62,1.48,0.09,0.17,17.44,7.89,8.65,2544.01
1777.11,4.97,0.17,0.06,15.55,7.65,8.98,2338.1
380.6,4.87,0.19,0.08,25.2,7.5,7.18,2978.6
862.0,2.98,0.1,0.13,21.07,7.27,8.41,4772.49
1945.07,7.44,0.1,0.15,13.67,7.51,5.67,60.04
189.87,5.16,0.12,0.15,24.05,7.43,2.29,1193.25
